id,filename,speaker_id,word
0,words/Brötchen/1.wav,1,Brötchen
1,words/kann/1.wav,1,kann
2,words/Staubsauger/1.wav,1,Staubsauger
3,words/Spiegel/1.wav,1,Spiegel
4,words/Alarm/1.wav,1,Alarm
5,words/Lüftung/1.wav,1,Lüftung
6,words/Ofen/1.wav,1,Ofen
7,words/Haus/1.wav,1,Haus
8,words/Heizung/1.wav,1,Heizung
9,words/Fernseher/1.wav,1,Fernseher
10,words/Ofen/2.wav,1,Ofen
11,words/Schraube/1.wav,1,Schraube
12,words/Spiegel/2.wav,1,Spiegel
13,words/Brötchen/2.wav,1,Brötchen
14,words/Licht/1.wav,1,Licht
15,words/kann/2.wav,1,kann
16,words/Staubsauger/2.wav,1,Staubsauger
17,words/Spiegel/3.wav,1,Spiegel
18,words/Brötchen/3.wav,1,Brötchen
19,words/Lüftung/2.wav,1,Lüftung
20,words/aus/1.wav,1,aus
21,words/Haus/2.wav,1,Haus
22,words/nicht/1.wav,1,nicht
23,words/warm/1.wav,1,warm
24,words/Schraube/2.wav,1,Schraube
25,words/Haus/3.wav,1,Haus
26,words/Schraube/3.wav,1,Schraube
27,words/kann/3.wav,1,kann
28,words/warm/2.wav,1,warm
29,words/nicht/2.wav,1,nicht
30,words/Heizung/2.wav,1,Heizung
31,words/aus/2.wav,1,aus
32,words/an/1.wav,1,an
33,words/Lüftung/3.wav,1,Lüftung
34,words/Leitung/1.wav,1,Leitung
35,words/offen/1.wav,1,offen
36,words/Haus/4.wav,1,Haus
37,words/Lüftung/4.wav,1,Lüftung
38,words/offen/2.wav,1,offen
39,words/warm/3.wav,1,warm
40,words/wunderbar/1.wav,1,wunderbar
41,words/Licht/2.wav,1,Licht
42,words/Ofen/3.wav,1,Ofen
43,words/Leitung/2.wav,1,Leitung
44,words/aus/3.wav,1,aus
45,words/Alarm/2.wav,1,Alarm
46,words/offen/3.wav,1,offen
47,words/Fernseher/2.wav,1,Fernseher
48,words/kann/4.wav,1,kann
49,words/Ofen/4.wav,1,Ofen
50,words/wunderbar/2.wav,1,wunderbar
51,words/Radio/1.wav,1,Radio
52,words/Licht/3.wav,1,Licht
53,words/Fernseher/3.wav,1,Fernseher
54,words/Staubsauger/3.wav,1,Staubsauger
